[48:06] 0
[48:18] 0 []
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:19] 0 [V(0, 0)]
[58:20] 0 [V(0, 0)]
[58:20] 0 [V(0, 0)]
[58:20] 0 [V(0, 0)]
[58:20] 0 [V(0, 0)]
[58:20] 0 [V(0, 0)]
[58:20] 0 [V(0, 0)]
[58:20] 0 [V(0, 0)]
[58:20] 0 [V(0, 0)]
[58:20] 0 [V(0, 0)]
[58:20] 0 [V(0, 0)]
[58:20] 0 [V(0, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
[58:20] 0 [V(-1, 0)]
